統計項目別,細項,樣本數（人）,有打算考證照（%）,有打算考技術士證（%）,有打算考專門職業及技術人員證書（%）,有打算考金融證照（%）,有打算考電腦證照（%）,有打算考語文證照（%）,有打算考其他證照（%）,沒有打算考證照（%）
性別,男,1641,31.53,10.15,6.99,1.94,3.35,13.42,0.76,68.47
性別,女,2406,38.74,6.28,7.66,3.35,3.95,22.42,1.19,61.26
年齡,15-19歲,129,31.74,14.44,6.31,4.13,2.15,8.86,1.37,68.26
年齡,20-24歲,1061,36.28,9.09,7.76,2.15,4,17.97,0.78,63.72
年齡,25-29歲,2857,35.15,6.87,7.23,2.78,3.65,19.26,1.05,64.85
教育程度,國中及以下,72,25.32,15.25,5.51,0.31,0.84,4.23,0,74.68
教育程度,高中（職）,796,26.45,11.28,5.92,2.28,3.06,7.62,0.8,73.55
教育程度,專科,200,32.61,10.35,6.84,0.37,1.69,15.99,1.2,67.39
教育程度,大學,2599,37.51,6.95,7.44,2.93,4.04,21.19,0.85,62.49
教育程度,碩士及以上,380,49.34,3.71,11.4,4.26,4.95,32.04,2.59,50.66
專科以上科系,人文,669,41.65,6.12,7.77,2.13,5.52,26.83,0.69,58.35
專科以上科系,社會,1329,40.42,5.17,8,5.37,3.7,23.09,1.42,59.58
專科以上科系,科技,1240,35.65,8.61,8.44,0.67,3.57,18.64,1.02,64.35
