統計項目別,細項,樣本數（人）,有打算考證照（%）,有打算考技術士證（%）,有打算考專門職業及技術人員證書（%）,有打算考金融證照（%）,有打算考電腦證照（%）,有打算考語文證照（%）,有打算考其他證照（%）,沒有打算考證照（%）
性別,男,1679,53.07,11.98,21.11,6.26,18.65,21.37,0.4,46.93
性別,女,2385,60.5,8.49,18.16,8.37,21.45,35.14,1.38,39.5
年齡,15-19歲,136,48.23,16.64,21.28,7.1,19.1,16.56, - ,51.77
年齡,20-24歲,962,58.47,10.9,18.77,8.58,21.26,31.34,1.06,41.53
年齡,25-29歲,2966,57.5,8.73,19.75,6.74,19.64,28.92,0.97,42.5
教育程度,國中及以下,137,41.27,19.22,14.09,2.41,14.84,4.68, - ,58.73
教育程度,高中（職）,1020,45.97,12.17,18.17,7.19,18.55,17.45,0.68,54.03
教育程度,專科,285,50.15,9.56,18.67,6.91,20.74,18.98,0.69,49.85
教育程度,大學,2313,64.85,8.78,20.92,8.21,21.66,36.85,1.21,35.15
教育程度,碩士及以上,309,63.93,5.95,20.71,6.07,18.77,41.14,0.59,36.07
專科以上科系,人文,535,68.78,9.74,20.24,5.07,26.24,40.67,1.25,31.22
專科以上科系,社會,1286,65.91,7.81,19.24,12.59,21.63,38.43,1.49,34.09
專科以上科系,科技,1086,57.76,8.72,22.39,4.08,18.42,29.97,0.57,42.24
