統計項目別,細項,樣本數（人）,沒有打算轉換工作（%）,有打算轉換工作（%）,因為待遇太低（%）,因為工作無發展前景（%）,因為興趣不合（%）,因為工作環境不佳（%）,因為個人技能無法有效發揮（%）,因為公司經營困難（%）,因為家庭或健康因素（%）,因為工作太累壓力大（%）,因為與同事或主管相處困難（%）,因為想自行開創事業（%）,因為擔心被解雇（%）,因為準備就業考試（%）,其他原因（%）
性別,男,1679,70.49,29.51,14.44,13.93,5.54,6.11,6.15,0.73,2.94,6.77,2.29,5.58,3.19,3.14,0.94
性別,女,2385,65.71,34.29,16.3,13.54,6.08,5.26,5.35,1.19,4.99,9.96,3.97,4.19,2.5,3.63,1.61
年齡,15-19歲,136,80.35,19.65,5.23,7.49,5.09,3.18,2.84,0.99,1.08,5.58,4.17,1.13,2.57,5.22,1.66
年齡,20-24歲,962,69.16,30.84,14.91,12.76,8.27,5.06,6.07,0.92,3.03,8.39,2.99,4.83,1.89,3.8,1.26
年齡,25-29歲,2966,65.4,34.6,17.31,15.25,4.62,6.4,6.02,0.99,5,8.9,3.09,5.48,3.38,2.88,1.24
教育程度,國中及以下,137,76,24,9.47,10.01,3.38,7.96,3.01,0.34,1.54,3.29,4.59,5.7,2.25,2.43,2.05
教育程度,高中（職）,1020,73.4,26.6,12.6,10.44,5.04,4.85,5.34,1.08,2.36,8.01,3.41,4.25,3.29,2.89,1.01
教育程度,專科,285,69.75,30.25,12.73,9.39,5.98,6.23,4.95,0.37,4.39,7.58,3.33,2.85,2.53,2.43,1.34
教育程度,大學,2313,64.04,35.96,17.94,16.47,6.65,5.69,5.76,0.96,5.03,9.64,2.99,5.52,2.69,3.77,1.39
教育程度,碩士及以上,309,66.24,33.76,15.94,14.75,4.86,6.79,9.61,1.54,4.98,6.14,2.26,4.09,2.62,4.35,1.13
專科以上科系,人文,535,64.07,35.93,19.42,14.49,8.05,4.72,9.56,1.2,5.03,9.64,2.35,7.16,2.36,2.8,1.95
專科以上科系,社會,1286,65.62,34.38,16.55,15.91,7.15,4.95,5.46,1.1,4.88,8.48,3.1,4.31,2.48,4.18,1.2
專科以上科系,科技,1086,64.48,35.52,16.75,15.64,4.74,7.4,5.21,0.72,5.01,9.29,3.05,4.9,3.01,3.64,1.24
